departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,MONTAÑITA,18410,Rural,Vereda La Reina,2004,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.175278,-75.288056,Accidente por MAP,"(1.175278, -75.288056)",Fuerza pública
CAQUETA,18,FLORENCIA,18001,Rural,Sin información,2003,4,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.621012,-75.619118,Accidente por MAP,"(1.621012, -75.619118)",Fuerza pública
ARAUCA,81,FORTUL,81300,Rural,"Vereda Birmania, Finca El Tesoro",2006,7,Mayor de 18 años,No,Civil,Herido,Femenino,6.792924,-71.770658,Accidente por MAP,"(6.792924, -71.770658)","Pasando, estando cerca"
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Montes De Maria,2003,10,Mayor de 18 años,No,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Otra
BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,Rural,Montes De Maria,2003,10,Mayor de 18 años,No,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Otra
CUNDINAMARCA,25,GACHETÁ,25297,Rural,Alto El Muchacho,2003,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,4.817365,-73.636647,Accidente por MAP,"(4.817365, -73.636647)",Fuerza pública
CUNDINAMARCA,25,GACHETÁ,25297,Rural,Alto El Muchacho,2003,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,4.817365,-73.636647,Accidente por MAP,"(4.817365, -73.636647)",Fuerza pública
CAUCA,19,SANTA ROSA,19701,Rural,Area General,2006,3,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,1.393,-76.515,Accidente por MAP,"(1.393, -76.515)",Fuerza pública
CAUCA,19,SANTA ROSA,19701,Rural,Area General,2006,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,1.393,-76.515,Accidente por MAP,"(1.393, -76.515)",Fuerza pública
